Class;Value;Z0;PLCOV_MN;PLCOV_MX;LAI_MN;LAI_MX;ROOTDP;EMIS_RAD;SKC;RSMIN;FOR_D;FOR_E
1;11;0.07;0.5;0.9;0.7;3.3;1;0.99;30;180;0;0
2;14;0.07;0.5;0.9;0.7;3.3;1;0.99;30;180;0;0
3;20;0.25;0.65;0.8;1;2.1;1;0.99;10;200;0;0
4;30;0.07;0.5;0.9;0.7;3.3;1;0.99;30;150;0;0
5;40;1;0.8;0.8;1.4;2.4;1;0.996;50;175;0;1
6;50;1;0.75;0.9;1;3.4;1;0.99;50;240;1;0
7;60;0.15;0.7;0.8;1;2;2;0.993;30;240;1;0
8;70;1;0.8;0.8;1.3;3.8;0.6;0.996;50;500;0;1
9;90;1;0.75;0.9;1;3.8;0.6;0.99;50;500;0;1
10;100;1;0.75;0.9;1;3.4;0.8;0.993;50;350;0.5;0.5
11;110;0.2;0.7;0.8;0.6;1.5;1;0.985;30;300;0;0
12;120;0.2;0.7;0.8;0.6;1.5;1;0.989;10;300;0;0
13;130;0.15;0.7;0.8;0.6;1.5;1.5;0.99;50;225;0;0
14;140;0.03;0.75;0.9;1;3.1;0.6;0.993;30;150;0;0
15;150;0.05;0.5;0.5;0.4;0.6;0.3;0.95;10;110;0;0
16;160;1;0.8;0.8;1.4;2.4;1;0.996;50;350;0;0
17;170;1;0.8;0.8;1.4;2.4;1;0.996;50;350;0;0
18;180;0.05;0.5;0.8;1;2;1;0.992;30;110;0;0
19;190;1;0.02;0.2;0.1;1.6;0.6;0.96;200;150;0;0
20;200;0.05;0;0.05;0.4;0.6;0.3;0.95;200;150;0;0
21;210;0.0002;0;0;0;0;0;0.991;200;250;0;0
22;220;0.01;0;0;0;0;0;0.9999;200;250;0;0
23;230;0;0;0;0;0;0;0.9999;200;250;0;0
